Index,Time,Cmt,wt1,wt2,rsiMFI
35,2021-08-02 00:30,LongCond,-54.32196296516015,-54.45638777029208,16.36982135861297
213,2021-08-05 17:30,LongCond,-82.9040081088945,-85.69442011618251,17.071949304792195
218,2021-08-05 20:00,LongCond,-59.57609200941836,-62.8508411293433,18.324655796195206
529,2021-08-12 07:30,LongCond,-57.9441245813983,-61.313311310228784,13.975420399032654
542,2021-08-12 14:00,LongCond,-54.68721554260604,-54.879181875361745,0.5682458095119092
650,2021-08-14 20:00,LongCond,-57.8539000889296,-57.889650754662746,0.8803263783357465
752,2021-08-16 23:00,LongCond,-63.29629739040887,-68.09002947399539,21.659067870415832
851,2021-08-19 00:30,ShortCond,59.742023186039994,59.97531675439897,-16.99006680637917
897,2021-08-19 23:30,ShortCond,59.24689210686867,59.51359415282858,-8.148825310187494
1002,2021-08-22 04:00,LongCond,-58.37084646683696,-61.721418983543266,1.472802303554471
1326,2021-08-28 22:00,LongCond,-57.65110481369642,-58.30422313981768,7.611970068595609
1631,2021-09-04 06:30,LongCond,-44.00674934558669,-53.51708000362064,19.05205665125349
1998,2021-09-11 22:00,ShortCond,51.58385857779985,57.25688672890545,-0.6597535826443888
2251,2021-09-17 04:30,LongCond,-57.99566399320298,-62.71184067746328,1.4187690965119946
2513,2021-09-22 15:30,ShortCond,56.51491809297201,57.17999222494865,-13.064405780153828
2531,2021-09-23 00:30,ShortCond,71.27262093985414,73.69630955079676,-5.076766416282183
2533,2021-09-23 01:30,ShortCond,69.5687566193494,71.82908333255635,-1.3909623446968624
2637,2021-09-25 05:30,ShortCond,58.65653692982896,59.51057962331756,-1.8068900589021306
2843,2021-09-29 12:30,ShortCond,55.18278959008963,55.229619222642306,-0.5528983869003505
3309,2021-10-09 05:30,LongCond,-55.236011349739265,-57.117967324030325,1.4996305047151557
4542,2021-11-03 22:00,LongCond,-55.07524041457209,-59.68874007426993,3.0117676225218926
5300,2021-11-19 17:00,ShortCond,67.10509321895081,68.55050071244091,-20.893680194717835
5311,2021-11-19 22:30,ShortCond,68.99895615595042,70.34539563048182,-8.588946786603838
5627,2021-11-26 12:30,LongCond,-62.8266949354521,-63.27125218849337,18.941217334210343
5674,2021-11-27 12:00,ShortCond,54.85109079355033,54.99016987384454,-24.31753983817551
6041,2021-12-05 03:30,ShortCond,68.23922990721695,68.61211968153968,-3.605864332499194
6186,2021-12-08 04:00,LongCond,-51.75988617443722,-53.485612737510365,17.530110919856284
6371,2021-12-12 00:30,ShortCond,54.284579577419294,60.95215501619003,-0.8226820126221506
6626,2021-12-17 08:00,LongCond,-59.803459415200564,-64.38553644280229,0.09341592324992964
6812,2021-12-21 05:00,ShortCond,69.48883117736997,75.29965028416453,-8.879633621343384
6892,2021-12-22 21:00,LongCond,-74.92164128401508,-79.09376599834972,0.6162774548359571
7124,2021-12-27 17:00,LongCond,-51.2135821310291,-60.81300851521119,12.045556561685624
7274,2021-12-30 20:00,ShortCond,66.89747566309167,67.089769612896,-11.892554531122165
7288,2021-12-31 03:00,ShortCond,55.63987623249238,59.07667559445499,-5.051539740354465
7382,2022-01-02 02:00,ShortCond,54.627804517010986,56.751770950217036,-6.992860736368709
7832,2022-01-11 11:00,ShortCond,62.39710875361544,62.84270839037089,-16.641275086587406
7928,2022-01-13 11:00,LongCond,-48.26189846635259,-55.63858676358925,15.892461473457356
8272,2022-01-20 15:00,ShortCond,47.93086656697933,53.710796513104036,-6.743845611507956
8420,2022-01-23 17:00,ShortCond,70.65050998380718,72.13128053435896,-13.312276976782584
8492,2022-01-25 05:00,ShortCond,57.43819445123684,58.94949725913718,-11.854847826180015
8780,2022-01-31 05:00,LongCond,-59.93018803434566,-60.26748963549619,5.132546341530455
9204,2022-02-09 01:00,LongCond,-52.03347127336225,-55.43767199688322,9.69434179616543
9275,2022-02-10 12:30,LongCond,-62.07168637782709,-62.12376588276742,3.564535185353452
9307,2022-02-11 04:30,LongCond,-53.77204051460178,-53.98030610220593,1.2134563456298797
9341,2022-02-11 21:30,ShortCond,51.547202065775934,57.23733403664468,-2.5093249502386885
9436,2022-02-13 21:00,ShortCond,56.47705366816634,56.61663435338833,-5.669106402716306
9486,2022-02-14 22:00,ShortCond,73.53996051702039,77.27565451308357,-0.03414146345021374
9668,2022-02-18 17:00,ShortCond,53.317420570135305,57.82294478065105,-6.571736012957532
9799,2022-02-21 10:30,ShortCond,55.47366568590987,56.91469154867608,-5.738436072931073
9803,2022-02-21 12:30,ShortCond,56.47965554358686,56.78005512004512,-8.423657760723316
9872,2022-02-22 23:00,ShortCond,51.41569573721304,59.86470931265125,-13.164228083761161
9970,2022-02-25 00:00,ShortCond,61.54819887964938,63.58012909700691,-30.772047040310422
