Index,Time,Open,High,Low,Close,Volume,Action,Cmt,Starting Balance,Finishing Balance,Profit,Qty,SL,TP
330,2022-02-15 01:00,2944.26,2907.77,2952.94,2903.42,17619.144500000002,Entry Short,,500.0,500.0,0.0,0,2957.6150267230337,2811.402948335468
337,2022-02-15 07:00,2920.41,2957.6150267230337,2957.6150267230337,2913.85,13779.5224,Exit: Lose Stop Loss,Lose,500.0,485.0464919830899,-14.95350801691012,0
539,2022-02-23 18:00,2717.68,2719.62,2738.83,2704.2,24034.1743,Entry Short,,485.0464919830899,485.0464919830899,0.0,0,2775.7199009480155,2611.1601915005035
548,2022-02-24 02:00,2633.14,2611.1601915005035,2633.26,2611.1601915005035,4881.7617,Exit: Win Take Profit,Win,485.0464919830899,513.246042192959,28.199550209869074,0
